Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
<a href=wins.aspx?date=2016-06-06&team=Angels&dh=0>2016-06-06</a>,LAA,@NYY,3,CF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,.000
<a href=wins.aspx?date=2016-06-05&team=Angels&dh=0>2016-06-05</a>,LAA,@PIT,3,CF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-06-04&team=Angels&dh=0>2016-06-04</a>,LAA,@PIT,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-06-03&team=Angels&dh=0>2016-06-03</a>,LAA,@PIT,3,CF,1,3,5,2,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,.667
<a href=wins.aspx?date=2016-06-01&team=Angels&dh=0>2016-06-01</a>,LAA,DET,3,DH,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,.000
<a href=wins.aspx?date=2016-05-31&team=Angels&dh=0>2016-05-31</a>,LAA,DET,2,CF,1,3,5,2,1,0,0,1,2,3,2,0,0,0,0,0,0,0,0,.667
<a href=wins.aspx?date=2016-05-30&team=Angels&dh=0>2016-05-30</a>,LAA,DET,2,CF,1,3,4,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-05-29&team=Angels&dh=0>2016-05-29</a>,LAA,HOU,3,CF,1,4,7,1,1,0,0,0,1,1,3,1,1,0,0,0,0,1,0,.250
<a href=wins.aspx?date=2016-05-28&team=Angels&dh=0>2016-05-28</a>,LAA,HOU,3,CF,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-05-27&team=Angels&dh=0>2016-05-27</a>,LAA,HOU,3,CF,1,2,4,1,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-05-25&team=Angels&dh=0>2016-05-25</a>,LAA,@TEX,3,CF,1,4,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.000
<a href=wins.aspx?date=2016-05-24&team=Angels&dh=0>2016-05-24</a>,LAA,@TEX,3,DH,1,3,4,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-05-23&team=Angels&dh=0>2016-05-23</a>,LAA,@TEX,2,CF,1,4,4,2,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,.500
<a href=wins.aspx?date=2016-05-22&team=Angels&dh=0>2016-05-22</a>,LAA,BAL,3,CF,1,3,4,1,1,0,0,0,2,0,1,0,1,0,0,0,0,1,0,.333
<a href=wins.aspx?date=2016-05-21&team=Angels&dh=0>2016-05-21</a>,LAA,BAL,3,CF,1,4,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-05-20&team=Angels&dh=0>2016-05-20</a>,LAA,BAL,3,CF,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200
<a href=wins.aspx?date=2016-05-19&team=Angels&dh=0>2016-05-19</a>,LAA,LAD,3,CF,1,3,4,2,1,0,0,1,2,3,1,0,0,0,0,0,0,1,0,.667
<a href=wins.aspx?date=2016-05-18&team=Angels&dh=0>2016-05-18</a>,LAA,LAD,3,CF,1,4,5,3,2,0,0,1,3,1,1,0,0,0,0,0,0,0,0,.750
<a href=wins.aspx?date=2016-05-17&team=Angels&dh=0>2016-05-17</a>,LAA,@LAD,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-05-16&team=Angels&dh=0>2016-05-16</a>,LAA,@LAD,3,CF,1,4,5,2,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-05-15&team=Angels&dh=0>2016-05-15</a>,LAA,@SEA,3,CF,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-05-14&team=Angels&dh=0>2016-05-14</a>,LAA,@SEA,3,CF,1,5,5,2,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,.400
<a href=wins.aspx?date=2016-05-13&team=Angels&dh=0>2016-05-13</a>,LAA,@SEA,2,CF,1,3,5,1,0,1,0,0,2,1,2,0,0,0,0,0,0,1,0,.333
<a href=wins.aspx?date=2016-05-12&team=Angels&dh=0>2016-05-12</a>,LAA,STL,3,CF,1,4,5,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-05-11&team=Angels&dh=0>2016-05-11</a>,LAA,STL,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000
<a href=wins.aspx?date=2016-05-10&team=Angels&dh=0>2016-05-10</a>,LAA,STL,3,CF,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-05-08&team=Angels&dh=0>2016-05-08</a>,LAA,TBR,3,CF,1,3,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-05-07&team=Angels&dh=0>2016-05-07</a>,LAA,TBR,3,CF,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-05-06&team=Angels&dh=0>2016-05-06</a>,LAA,TBR,3,CF,1,4,5,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-05-04&team=Angels&dh=0>2016-05-04</a>,LAA,@MIL,3,CF,1,4,5,2,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-05-03&team=Angels&dh=0>2016-05-03</a>,LAA,@MIL,3,CF,1,4,4,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-05-02&team=Angels&dh=0>2016-05-02</a>,LAA,@MIL,3,CF,1,5,5,4,3,0,0,1,2,3,0,0,0,0,0,0,0,1,0,.800
<a href=wins.aspx?date=2016-05-01&team=Angels&dh=0>2016-05-01</a>,LAA,@TEX,3,CF,1,5,5,1,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,.200
<a href=wins.aspx?date=2016-04-30&team=Angels&dh=0>2016-04-30</a>,LAA,@TEX,3,CF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000
<a href=wins.aspx?date=2016-04-29&team=Angels&dh=0>2016-04-29</a>,LAA,@TEX,3,CF,1,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500
<a href=wins.aspx?date=2016-04-27&team=Angels&dh=0>2016-04-27</a>,LAA,KCR,3,CF,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-04-26&team=Angels&dh=0>2016-04-26</a>,LAA,KCR,3,CF,1,4,5,1,1,0,0,0,0,2,1,0,2,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-04-25&team=Angels&dh=0>2016-04-25</a>,LAA,KCR,3,DH,1,3,4,1,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,.333
<a href=wins.aspx?date=2016-04-24&team=Angels&dh=0>2016-04-24</a>,LAA,SEA,3,CF,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.250
<a href=wins.aspx?date=2016-04-23&team=Angels&dh=0>2016-04-23</a>,LAA,SEA,3,CF,1,3,4,2,0,1,0,1,1,2,1,1,0,0,0,0,0,0,0,.667
