"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Cam Gallagher","Royals (AAA)","24","39","130","146","38","27","8","0","3","15","15","13","2","18","0","1","2","7","0","0",".292","sa597771"
"Chad Huffman","Cardinals (AAA)","32","43","120","145","35","18","12","1","4","20","20","16","0","24","8","1","0","2","1","0",".292","5311"
"Ramon Flores","Angels (AAA)","25","51","175","212","51","42","7","1","1","27","27","31","0","37","0","3","3","4","3","2",".291","11165"
"Leonys Martin","Mariners (AAA)","29","47","189","205","55","34","13","3","5","33","14","15","1","40","1","0","0","0","10","1",".291","11846"
"J.T. Riddle","Marlins (AAA)","25","15","62","63","18","11","4","1","2","9","6","1","1","8","0","0","0","0","1","0",".290","17642"
"Carson Kelly","Cardinals (AAA)","22","48","169","195","49","32","10","0","7","25","26","24","0","25","2","0","0","8","0","2",".290","13620"
"Jon Kemmer","Astros (AAA)","26","48","169","194","49","30","10","1","8","29","28","19","0","48","4","2","0","3","3","1",".290","sa738208"
"Kelby Tomlinson","Giants (AAA)","27","25","107","121","31","25","6","0","0","17","8","13","0","12","1","0","0","0","8","2",".290","13005"
"Brett Phillips","Brewers (AAA)","23","53","190","214","55","28","11","4","12","37","45","22","1","67","0","2","0","1","2","1",".289","14735"
"Mike Aviles","Marlins (AAA)","36","22","76","82","22","18","3","1","0","9","9","4","0","11","0","0","2","1","0","1",".289","5986"
"Franchy Cordero","Padres (AAA)","22","42","173","190","50","31","5","7","7","29","23","15","1","59","1","0","1","1","8","2",".289","14567"
"Ryder Jones","Giants (AAA)","23","49","180","210","52","27","13","2","10","31","30","25","1","42","4","1","0","2","5","0",".289","sa737617"
"Ben Gamel","Mariners (AAA)","25","18","59","74","17","14","1","1","1","6","8","12","0","11","2","1","0","2","1","1",".288","12160"
"Jaycob Brugman","Athletics (AAA)","25","33","132","150","38","31","5","1","1","16","8","18","1","22","0","0","0","2","3","1",".288","14936"
"Carlos Rivero","Diamondbacks (AAA)","29","58","202","229","58","38","12","1","7","26","37","20","0","39","0","7","0","4","0","1",".287","1136"
"T.J. Rivera","Mets (AAA)","28","5","21","22","6","4","1","0","1","3","4","1","0","3","0","0","0","0","0","0",".286","12495"
"Matt Reynolds","Mets (AAA)","26","15","56","64","16","12","3","0","1","13","5","8","0","16","0","0","0","4","1","1",".286","13788"
"Chad Hinshaw","Marlins (AAA)","26","25","77","91","22","12","7","1","2","14","8","13","1","22","1","0","0","0","2","1",".286","sa738144"
"Jae-Gyun Hwang","Giants (AAA)","29","60","235","253","67","40","17","4","6","30","40","13","1","53","1","4","0","4","5","0",".285","sa911625"
"Ryan Cordell","Brewers (AAA)","25","61","236","264","67","37","16","4","10","44","43","23","0","53","3","2","0","1","7","3",".284","sa737938"
"Christian Walker","Diamondbacks (AAA)","26","66","261","298","74","36","17","4","17","56","65","27","1","50","3","7","0","7","4","1",".284","13419"
"Nick Martini","Cardinals (AAA)","27","35","127","154","36","22","11","1","2","27","18","25","2","26","1","1","0","2","1","0",".283","sa578044"
"Matt Williams","Angels (AAA)","27","47","166","185","47","33","8","1","5","24","27","14","0","24","1","0","4","1","6","5",".283","sa577691"
"Tommy Pham","Cardinals (AAA)","29","25","92","106","26","14","8","0","4","17","19","13","0","21","0","0","1","1","6","3",".283","2967"
"Rene Garcia","Brewers (AAA)","27","15","46","48","13","10","1","0","2","5","9","2","0","4","0","0","0","1","0","0",".283","sa454693"
"Daniel Vogelbach","Mariners (AAA)","24","55","195","232","55","41","6","0","8","24","36","35","1","42","1","1","0","8","3","0",".282","14130"
"Ryan Hanigan","Rockies (AAA)","36","13","39","50","11","8","3","0","0","9","6","6","0","12","1","4","0","0","0","0",".282","4952"
"Isaac Galloway","Marlins (AAA)","27","26","75","83","21","14","0","0","7","12","16","7","0","21","1","0","0","0","5","0",".280","sa454974"
"Colin Moran","Astros (AAA)","24","54","211","231","59","35","10","0","14","32","47","18","2","40","1","1","0","6","0","2",".280","16909"
"Matt Olson","Athletics (AAA)","23","54","201","235","56","29","11","0","16","34","40","32","0","58","0","2","0","1","2","0",".279","14344"
"Jack Reinheimer","Diamondbacks (AAA)","24","63","230","254","64","49","10","1","4","45","31","20","0","41","1","3","0","5","6","3",".278","sa549854"
"Michael Bourn","Angels (AAA)","34","13","54","60","15","12","1","1","1","8","7","4","0","9","0","0","2","1","2","3",".278","6387"
"Cristhian Adames","Rockies (AAA)","25","33","123","139","34","20","9","2","3","17","18","11","0","18","0","3","2","4","3","2",".276","6013"
"Anthony Bemboom","Rockies (AAA)","27","32","105","124","29","20","6","1","2","15","14","16","1","25","1","1","1","1","0","0",".276","sa579274"
"Drew Robinson","Rangers (AAA)","25","54","214","253","59","28","17","4","10","44","32","38","1","59","1","0","0","0","7","2",".276","11761"
"Steve Lombardozzi","Marlins (AAA)","28","44","171","192","47","36","7","2","2","21","8","18","0","22","1","1","1","2","7","3",".275","5422"
"Franklin Barreto","Athletics (AAA)","21","62","262","283","72","50","10","4","8","35","32","14","1","86","3","2","2","5","3","5",".275","sa739765"
"Boog Powell","Mariners (AAA)","24","29","91","115","25","20","5","0","0","22","11","22","0","10","0","1","1","7","7","4",".275","15103"
"Chris Denorfia","Rockies (AAA)","36","20","51","61","14","12","0","2","0","7","2","9","0","13","0","0","1","0","4","0",".275","4400"
"Teoscar Hernandez","Astros (AAA)","24","46","175","201","48","29","9","3","7","30","27","22","2","43","3","1","0","4","8","7",".274","13066"
"Gabriel Noriega","Brewers (AAA)","26","29","62","67","17","15","2","0","0","8","4","4","0","18","0","0","1","1","0","0",".274","sa455932"
"Diego Goris","Padres (AAA)","26","63","212","225","58","43","10","1","4","28","26","12","0","40","0","1","0","11","0","2",".274","sa507199"
"Todd Cunningham","Cardinals (AAA)","28","61","183","225","50","32","12","2","4","37","24","28","1","31","11","1","2","4","4","2",".273","10822"
"Derrik Gibson","Rockies (AAA)","27","53","194","214","53","38","8","5","2","28","21","15","0","43","1","2","2","6","5","0",".273","sa456041"
"Trevor Story","Rockies (AAA)","24","4","11","13","3","2","0","0","1","2","2","2","0","3","0","0","0","0","1","0",".273","12564"
"Hank Conger","Diamondbacks (AAA)","29","35","121","136","33","23","5","0","5","14","34","13","0","33","0","2","0","8","0","0",".273","2505"
"Michael Morse","Giants (AAA)","35","3","11","12","3","2","1","0","0","1","2","1","0","3","0","0","0","1","0","0",".273","3035"
"Jurickson Profar","Rangers (AAA)","24","35","136","153","37","19","16","0","2","19","22","10","0","14","5","0","2","3","1","0",".272","10815"
"Nolan Fontana","Angels (AAA)","26","52","184","226","50","32","10","1","7","41","30","36","0","48","1","2","3","2","5","1",".272","13267"
"Seth Mejias-Brean","Mariners (AAA)","26","19","70","77","19","11","6","1","1","15","7","7","0","13","0","0","0","4","1","0",".271","sa580437"
"Joey Wendle","Athletics (AAA)","27","50","203","214","55","33","14","3","5","30","22","7","0","38","4","0","0","3","5","2",".271","13853"
"Scott Van Slyke","Dodgers (AAA)","30","26","85","104","23","15","6","0","2","19","4","12","0","25","6","0","0","0","0","1",".271","4365"
"Reid Brignac","Astros (AAA)","31","58","207","226","56","39","9","1","7","33","29","17","0","56","1","1","0","5","1","0",".271","8380"
"Matt Juengel","Marlins (AAA)","27","43","148","160","40","25","9","2","4","16","18","9","0","23","2","1","0","2","1","1",".270","sa658579"
"Cesar Puello","- - -","26","55","211","232","57","37","13","1","6","33","31","15","1","52","3","3","0","9","8","1",".270","sa455741"
"Tomas Telis","Marlins (AAA)","26","46","174","190","47","34","10","1","2","23","17","11","0","24","3","2","0","3","5","0",".270","10067"
