"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","game_pk","at_bat_number","pitch_number"
"SL","2017-06-09","86.7","-2.9831","6.1594","Tanner Roark",425783,543699,"field_error","hit_into_play_no_out",,,,,"2","Shin-Soo Choo reaches on a fielding error by first baseman Ryan Zimmerman.  ","R","L","R","WSH","TEX","X","3","ground_ball",0,1,2017,"-0.4820","0.7198","0.1501","2.9359","null","null","null",0,5,"Top","161.50","167.64",,,446308,,"170610_001607",,,,,,,"2.9663","1.2387","35","88.9","-2.0890","86.5440","2242","5.9690",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.5280","0.300","0.282","0.00",1,0,0,2,491018,35,"2"
"CU","2017-06-09","76.2","-3.2419","5.8797","Tanner Roark",425783,543699,"null","called_strike",,,,,"8","null","R","L","R","WSH","TEX","S","null","null",0,0,2017,"-1.2319","-0.9525","0.0653","2.0452","null","null","null",0,5,"Top","null","null",,,446308,,"170610_001553",,,,,,,"3.1847","1.5664","null","null","null","75.0610","2650","5.7600",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.7375","0.000","0.000","null","null","null","null","null",491018,35,"1"
"FT","2017-06-09","93.9","-2.7035","6.1030","Tanner Roark",488768,543699,"strikeout","called_strike",,,,,"12","Andrew Cashner called out on strikes.  ","R","R","R","WSH","TEX","S","null","null",1,2,2017,"1.2616","1.4479","1.0391","2.8023","null","null","null",2,4,"Top","null","null",,,446308,,"170610_000326",,,,,,,"3.3896","1.6105","null","null","null","93.4230","1930","6.0660",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.4309","0.000","0.000","0.00",1,0,0,"null",491018,29,"4"
"SL","2017-06-09","85.0","-2.8153","6.1001","Tanner Roark",488768,543699,"null","ball",,,,,"12","null","R","R","R","WSH","TEX","B","null","null",0,2,2017,"-0.1615","0.5193","1.2326","2.9628","null","null","null",2,4,"Top","null","null",,,446308,,"170610_000314",,,,,,,"3.5050","1.7440","null","null","null","84.1870","2348","5.7220",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.7747","0.000","0.000","null","null","null","null","null",491018,29,"3"
"CU","2017-06-09","73.7","-2.9829","5.9813","Tanner Roark",488768,543699,"null","missed_bunt",,,,,"14","null","R","R","R","WSH","TEX","S","null","null",0,1,2017,"-1.4080","-1.1300","0.2217","0.3812","null","null","null",2,4,"Top","null","null",,,446308,,"170610_000248",,,,,,,"3.1875","1.3091","null","null","null","72.3440","2719","5.6140",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.8835","0.000","0.000","null","null","null","null","null",491018,29,"2"
"FT","2017-06-09","91.6","-2.8023","6.0579","Tanner Roark",488768,543699,"null","called_strike",,,,,"6","null","R","R","R","WSH","TEX","S","null","null",0,0,2017,"0.9662","1.3340","0.4060","2.5778","null","null","null",2,4,"Top","null","null",,,446308,,"170610_000236",,,,,,,"3.6322","1.7197","null","null","null","91.8050","2041","6.4340",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.0630","0.000","0.000","null","null","null","null","null",491018,29,"1"
"FT","2017-06-09","93.8","-2.8462","6.0871","Tanner Roark",592261,543699,"field_out","hit_into_play",,,,,"4","Delino DeShields grounds out sharply, third baseman Anthony Rendon to first baseman Ryan Zimmerman.  ","R","R","R","WSH","TEX","X","5","ground_ball",2,1,2017,"0.8366","1.2475","-0.5217","2.3989","null","null","null",1,4,"Top","102.20","172.40",,,446308,,"170610_000159",,,,,,,"3.1171","1.2085","53","97.0","1.3590","93.9090","2070","6.2430",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.2542","0.465","0.434","0.00",1,0,0,4,491018,28,"4"
"FT","2017-06-09","94.4","-2.8562","5.9822","Tanner Roark",592261,543699,"null","ball",,,,,"2","null","R","R","R","WSH","TEX","B","null","null",1,1,2017,"0.6599","1.2405","0.1718","3.3971","null","null","null",1,4,"Top","null","null",,,446308,,"170610_000141",,,,,,,"3.4103","1.5827","null","null","null","94.5790","2112","6.2890",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.2081","0.000","0.000","null","null","null","null","null",491018,28,"3"
"SL","2017-06-09","86.7","-3.0208","5.8610","Tanner Roark",592261,543699,"null","ball",,,,,"14","null","R","R","R","WSH","TEX","B","null","null",0,1,2017,"-0.5850","0.4953","0.9659","2.4368","null","null","null",1,4,"Top","null","null",,,446308,,"170610_000127",,,,,,,"3.4467","1.6313","null","null","null","87.0560","2391","6.2510",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.2463","0.000","0.000","null","null","null","null","null",491018,28,"2"
"SL","2017-06-09","85.6","-3.0194","6.0474","Tanner Roark",592261,543699,"null","foul_bunt",,,,,"2","null","R","R","R","WSH","TEX","S","null","null",0,0,2017,"-0.4904","0.3095","0.2246","2.8748","null","null","null",1,4,"Top","null","null",,,446308,,"170610_000102",,,,,,,"3.1171","1.2085","null","null","null","85.3480","2439","5.8670",491018,543699,446308,475582,502517,543685,607208,571718,572191,547180,"54.6298","0.000","0.000","null","null","null","null","null",491018,28,"1"
