"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","game_pk","at_bat_number","pitch_number"
"FT","2017-05-09","83.1","-3.6091","6.0860","Jered Weaver",455139,450308,"field_out","hit_into_play",,,,,"13","Robinson Chirinos grounds out softly, pitcher Jered Weaver to first baseman Wil Myers.  ","R","R","R","SD","TEX","X","1","ground_ball",1,2,2017,"1.4513","1.1509","-1.2517","2.5481","null","null","null",2,1,"Top","131.79","191.08",,,595978,,"170509_195526",,,,,,,"3.9501","1.6811","null","82.9","-20.6990","82.4520","1910","5.8810",490596,450308,595978,571976,500208,572114,642707,605486,622534,592669,"54.6172","0.075","0.069","0.00",1,0,0,2,490596,8,"4"
"SL","2017-05-09","80.5","-3.2832","5.9184","Jered Weaver",607387,450308,"home_run","hit_into_play_score",,,,,"9","Ryan Rua homers (2) on a fly ball to right center field.    Nomar Mazara scores.    Rougned Odor scores.  ","R","R","R","SD","TEX","X","null","fly_ball",0,1,2017,"0.0401","0.6471","0.6736","2.2159","608577.00","null","596059.00",1,1,"Top","185.51","31.87",,,"null",,"170509_195210",,,,,,,"3.6402","1.6002","411","106.2","29.6616","null","2433","5.7446",490596,"null","null","null","null","null","null","null","null","null","54.7545","0.922","1.822","2.00",1,0,3,6,490596,6,"2"
"CU","2017-05-09","72.6","-3.5280","5.9671","Jered Weaver",596059,450308,"single","hit_into_play_no_out",,,,,"7","Rougned Odor singles on a sharp line drive to right fielder Hunter Renfroe.   Nomar Mazara to 3rd.  ","R","L","R","SD","TEX","X","null","line_drive",0,1,2017,"-0.4785","0.0633","-0.8172","1.2219","null","608577.00","null",1,1,"Top","178.35","101.05",,,595978,,"170509_195022",,,,,,,"3.0601","1.3301","null","90.4","14.6000","71.2750","2398","5.3680",490596,450308,595978,571976,500208,572114,642707,605486,622534,592669,"55.1302","0.812","0.785","0.90",1,1,0,4,490596,5,"2"
"FT","2017-05-09","83.8","-3.1670","6.1159","Jered Weaver",608577,450308,"double","hit_into_play_score",,,,,"12","Nomar Mazara doubles (4) on a sharp line drive to right fielder Hunter Renfroe.   Shin-Soo Choo scores.    Elvis Andrus scores.  ","R","L","R","SD","TEX","X","null","line_drive",0,1,2017,"1.5130","1.1201","0.2753","3.6130","null","425783.00","462101.00",0,1,"Top","215.71","85.28",,,595978,,"170509_194651",,,,,,,"3.4301","1.6001","274","108.1","14.2790","82.3890","2091","5.8520",490596,450308,595978,571976,500208,572114,642707,605486,622534,592669,"54.6461","0.732","0.828","1.25",1,1,1,5,490596,3,"2"
"FF","2017-05-09","84.6","-3.2805","6.1929","Jered Weaver",462101,450308,"single","hit_into_play_no_out",,,,,"11","Elvis Andrus singles on a soft ground ball to left fielder Cory Spangenberg.   Shin-Soo Choo to 2nd.  ","R","R","R","SD","TEX","X","null","ground_ball",0,0,2017,"1.0199","1.8027","-0.7075","3.7783","null","null","425783.00",0,1,"Top","70.89","112.24",,,595978,,"170509_194539",,,,,,,"3.2901","1.4701","121","57.2","15.6710","83.3250","2184","5.7820",490596,450308,595978,571976,500208,572114,642707,605486,622534,592669,"54.7171","0.146","0.140","0.90",1,1,0,1,490596,2,"1"
"CU","2017-05-03","71.2","-3.3291","6.0053","Jered Weaver",506560,450308,"single","hit_into_play_no_out",,,,,"8","Alexi Amarista singles on a sharp ground ball to right fielder Hunter Renfroe.   Gerardo Parra to 3rd.  ","R","L","R","SD","COL","X","null","ground_ball",3,2,2017,"-0.3565","0.1945","-0.0244","1.5563","null","null","467827.00",0,5,"Top","176.79","131.07",,,595978,,"170504_033536",,,,,,,"3.3190","1.5130","null","90.3","-17.3000","69.7210","2320","5.3810",490505,450308,595978,571976,500208,572114,430947,605486,622534,592669,"55.1172","0.144","0.133","0.90",1,1,0,2,490505,40,"7"
"FT","2017-05-03","81.7","-3.2554","6.1782","Jered Weaver",467827,450308,"field_error","hit_into_play_no_out",,,,,"8","Gerardo Parra reaches on a throwing error by third baseman Ryan Schimpf.  ","R","L","R","SD","COL","X","5","ground_ball",0,2,2017,"1.2650","1.4068","0.1327","1.7243","null","null","null",0,5,"Top","128.32","248.00",,,595978,,"170504_033156",,,,,,,"3.4900","1.6010","42","100.6","0.0900","81.3960","1882","6.1320",490505,450308,595978,571976,500208,572114,430947,605486,622534,592669,"54.3664","0.474","0.441","0.00",1,0,0,4,490505,39,"3"
"CU","2017-05-03","71.3","-3.4248","6.1497","Jered Weaver",435622,450308,"home_run","hit_into_play_score",,,,,"5","Ian Desmond homers (2) on a line drive to left center field.  ","R","R","R","SD","COL","X","null","line_drive",0,0,2017,"-0.2310","0.3240","-0.2483","2.3608","null","null","null",0,5,"Top","30.25","53.86",,,595978,,"170504_033019",,,,,,,"3.4900","1.6010","408","108.3","18.4230","69.9100","2467","5.3310",490505,450308,595978,571976,500208,572114,430947,605486,622534,592669,"55.1725","0.776","1.106","2.00",1,0,3,6,490505,38,"1"
"CH","2017-05-03","74.5","-3.6538","5.7844","Jered Weaver",471865,450308,"field_out","hit_into_play",,,,,"4","Carlos Gonzalez flies out sharply to center fielder Manuel Margot.  ","R","L","R","SD","COL","X","8","fly_ball",0,1,2017,"1.7243","0.8545","-0.5668","2.3791","null","null","null",2,4,"Top","0.00","0.00",,,595978,,"170504_032003",,,,,,,"3.4670","1.5890","0","100.7","38.8730","74.2260","1576","6.1270",490505,450308,595978,571976,500208,572114,430947,605486,622534,592669,"54.3769","0.243","0.464","0.00",1,0,0,5,490505,33,"2"
"CH","2017-05-03","75.7","-3.6369","5.6253","Jered Weaver",571448,450308,"sac_fly","hit_into_play_score",,,,,"9","Nolan Arenado out on a sacrifice fly to center fielder Manuel Margot.   Charlie Blackmon scores.  ","R","R","R","SD","COL","X","8","fly_ball",0,1,2017,"1.6991","0.6160","0.4855","2.0295","453568.00","null","null",1,4,"Top","125.83","53.15",,,595978,,"170504_031900",,,,,,,"3.4670","1.5890","346","87.6","28.6440","75.6190","1637","6.1280",490505,450308,595978,571976,500208,572114,430947,605486,622534,592669,"54.3729","0.057","0.078","0.00",1,0,0,3,490505,32,"2"
