"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"FT","2017-05-19","90.6","-3.4689","6.0830","Justin Smoak",475253,501957,"single","hit_into_play_score",,,,,"13","Justin Smoak singles on a ground ball to left fielder Hyun Soo Kim.   Jose Bautista scores.    Kendrys Morales to 2nd.  ","R","L","R","BAL","TOR","X","null","ground_ball",2,1,2017,"1.2601","1.0650","-1.0826","1.9060","null","430832.00","434778.00",0,4,"Top","97.86","104.87",,,456078,,"170520_003744",,,,,,,"3.5313","1.7113","109","95.4","4.6190","89.5750","2259","6.1980",490731,501957,456078,448801,570731,592518,429666,547957,430945,444432,"54.3030","0.563","0.529","0.90",1,1,0
"SL","2017-05-19","85.1","-3.6110","6.2003","Justin Smoak",475253,501957,"null","blocked_ball",,,,,"13","null","R","L","R","BAL","TOR","B","null","null",1,1,2017,"-0.2026","0.3403","-0.5565","0.8826","null","430832.00","434778.00",0,4,"Top","null","null",,,456078,,"170520_003707",,,,,,,"3.8307","1.9137","null","null","null","84.1450","2456","5.8320",490731,501957,456078,448801,570731,592518,429666,547957,430945,444432,"54.6687","0.000","0.000","null","null","null","null"
"FF","2017-05-19","89.8","-3.7103","6.1965","Justin Smoak",475253,501957,"null","ball",,,,,"11","null","R","L","R","BAL","TOR","B","null","null",0,1,2017,"0.3333","2.0536","-1.7019","4.8317","null","430832.00","434778.00",0,4,"Top","null","null",,,456078,,"170520_003638",,,,,,,"3.8550","2.0144","null","null","null","88.5470","2257","6.1980",490731,501957,456078,448801,570731,592518,429666,547957,430945,444432,"54.3032","0.000","0.000","null","null","null","null"
"FF","2017-05-19","89.8","-3.4956","6.1300","Justin Smoak",475253,501957,"null","called_strike",,,,,"13","null","R","L","R","BAL","TOR","S","null","null",0,0,2017,"0.6623","1.5338","-0.9232","1.6570","null","430832.00","434778.00",0,4,"Top","null","null",,,456078,,"170520_003612",,,,,,,"3.9049","1.8905","null","null","null","88.7510","2130","6.1780",490731,501957,456078,448801,570731,592518,429666,547957,430945,444432,"54.3233","0.000","0.000","null","null","null","null"
"FT","2017-05-19","89.8","-3.3774","6.1382","Justin Smoak",475253,501957,"field_out","hit_into_play",,,,,"7","Justin Smoak flies out to left fielder Hyun Soo Kim.  ","R","L","R","BAL","TOR","X","7","fly_ball",3,1,2017,"1.2211","1.3847","-0.4771","1.7549","null","null","430832.00",2,1,"Top","81.69","111.01",,,456078,,"170519_234151",,,,,,,"3.9252","1.6283","239","77.4","49.4810","89.5590","2216","6.4390",490731,501957,456078,448801,570731,592518,429666,547957,430945,444432,"54.0621","0.060","0.064","0.00",1,0,0
"FF","2017-05-19","91.1","-3.3844","6.2049","Justin Smoak",475253,501957,"null","called_strike",,,,,"4","null","R","L","R","BAL","TOR","S","null","null",3,0,2017,"0.8062","1.6365","-0.5418","2.8486","null","null","430832.00",2,1,"Top","null","null",,,456078,,"170519_234115",,,,,,,"3.7583","1.8742","null","null","null","91.1460","2283","6.4640",490731,501957,456078,448801,570731,592518,429666,547957,430945,444432,"54.0375","0.000","0.000","null","null","null","null"
"CH","2017-05-19","83.5","-3.1897","6.3914","Justin Smoak",475253,501957,"null","ball",,,,,"13","null","R","L","R","BAL","TOR","B","null","null",2,0,2017,"0.7728","1.2780","-1.6150","2.3346","null","null","430832.00",2,1,"Top","null","null",,,456078,,"170519_234048",,,,,,,"3.8659","1.8407","null","null","null","83.0060","1599","6.0340",490731,501957,456078,448801,570731,592518,429666,547957,430945,444432,"54.4668","0.000","0.000","null","null","null","null"
"KC","2017-05-19","75.2","-3.2651","6.1679","Justin Smoak",475253,501957,"null","blocked_ball",,,,,"13","null","R","L","R","BAL","TOR","B","null","null",1,0,2017,"-0.1720","-1.2965","-0.2416","1.1162","null","null","430832.00",2,1,"Top","null","null",,,456078,,"170519_234019",,,,,,,"3.8710","1.8889","null","null","null","73.1900","1911","5.7220",490731,501957,456078,448801,570731,592518,429666,547957,430945,444432,"54.7788","0.000","0.000","null","null","null","null"
"KC","2017-05-19","74.1","-3.1923","6.2698","Justin Smoak",475253,501957,"null","ball",,,,,"13","null","R","L","R","BAL","TOR","B","null","null",0,0,2017,"-0.7792","-0.9016","-1.2260","2.6343","null","null","430832.00",2,1,"Top","null","null",,,456078,,"170519_233957",,,,,,,"3.7140","1.9276","null","null","null","72.6310","2063","5.6930",490731,501957,456078,448801,570731,592518,429666,547957,430945,444432,"54.8078","0.000","0.000","null","null","null","null"
"SI","2017-05-17","91.1","2.5097","6.0178","Justin Smoak",475253,447714,"field_out","hit_into_play",,,,,"14","Justin Smoak grounds out, third baseman Johan Camargo to first baseman Jace Peterson.  ","R","R","L","ATL","TOR","X","5","ground_ball",2,1,2017,"-1.3764","0.7781","0.8513","2.0690","null","null","null",1,8,"Top","125.78","202.64",,,435559,,"170518_022000",,,,,,,"3.9259","1.6292","5","76.9","-41.5420","89.4340","2081","5.3130",490705,447714,435559,607054,408252,622666,621020,461314,542255,455976,"55.1882","0.077","0.072","0.00",1,0,0
"SI","2017-05-17","91.1","2.8174","6.0021","Justin Smoak",475253,447714,"null","ball",,,,,"14","null","R","R","L","ATL","TOR","B","null","null",1,1,2017,"-1.7664","0.5267","1.9728","1.7465","null","null","null",1,8,"Top","null","null",,,435559,,"170518_021943",,,,,,,"3.7166","1.9169","null","null","null","89.1730","2139","5.3000",490705,447714,435559,607054,408252,622666,621020,461314,542255,455976,"55.2010","0.000","0.000","null","null","null","null"
"SL","2017-05-17","86.0","2.6216","5.8502","Justin Smoak",475253,447714,"null","ball",,,,,"13","null","R","R","L","ATL","TOR","B","null","null",0,1,2017,"0.3159","0.3769","-1.1417","0.9617","null","null","null",1,8,"Top","null","null",,,435559,,"170518_021927",,,,,,,"3.7398","1.9104","null","null","null","83.9610","2615","4.9660",490705,447714,435559,607054,408252,622666,621020,461314,542255,455976,"55.5354","0.000","0.000","null","null","null","null"
"SI","2017-05-17","91.1","2.6100","6.1544","Justin Smoak",475253,447714,"null","called_strike",,,,,"14","null","R","R","L","ATL","TOR","S","null","null",0,0,2017,"-1.4934","0.8580","1.3574","2.2643","null","null","null",1,8,"Top","null","null",,,435559,,"170518_021914",,,,,,,"3.6400","1.7103","null","null","null","88.7240","1938","5.1420",490705,447714,435559,607054,408252,622666,621020,461314,542255,455976,"55.3590","0.000","0.000","null","null","null","null"
"SL","2017-05-17","87.3","-2.4328","5.5585","Justin Smoak",475253,592314,"force_out","hit_into_play",,,,,"7","Justin Smoak grounds into a force out, fielded by third baseman Jace Peterson.   Ezequiel Carrera out at 3rd.  ","R","L","R","ATL","TOR","X","5","ground_ball",3,2,2017,"-0.1792","-0.1554","-0.4171","1.9637","null","485567.00","430832.00",2,5,"Top","125.20","202.78",,,"null",,"170518_010932",,,,,,,"3.9258","1.6292","4","47.6","-47.5900","null","2488","6.0527",490705,"null","null","null","null","null","null","null","null","null","54.4490","0.136","0.124","0.00",1,0,0
"CH","2017-05-17","85.6","-2.0354","5.7180","Justin Smoak",475253,592314,"null","called_strike",,,,,"3","null","R","L","R","ATL","TOR","S","null","null",3,1,2017,"1.3016","0.6977","0.2775","3.2626","null","485567.00","430832.00",2,5,"Top","null","null",,,435559,,"170518_010909",,,,,,,"3.5119","1.7870","null","null","null","85.5620","1756","6.1580",490705,592314,435559,518692,408252,607054,621020,461314,542255,455976,"54.3435","0.000","0.000","null","null","null","null"
"FT","2017-05-17","96.0","-2.2615","5.6703","Justin Smoak",475253,592314,"null","ball",,,,,"13","null","R","L","R","ATL","TOR","B","null","null",2,1,2017,"1.3970","1.0214","-1.3378","2.5014","null","485567.00","430832.00",2,5,"Top","null","null",,,435559,,"170518_010834",,,,,,,"3.6286","1.8141","null","null","null","97.2850","2237","6.8660",490705,592314,435559,518692,408252,607054,621020,461314,542255,455976,"53.6353","0.000","0.000","null","null","null","null"
"CU","2017-05-17","80.6","-2.1076","6.0290","Justin Smoak",475253,592314,"null","ball",,,,,"11","null","R","L","R","ATL","TOR","B","null","null",1,1,2017,"-0.1949","-0.4676","-0.2225","3.5768","null","485567.00","430832.00",2,5,"Top","null","null",,,435559,,"170518_010813",,,,,,,"3.4460","1.7243","null","null","null","80.5210","null","5.7710",490705,592314,435559,518692,408252,607054,621020,461314,542255,455976,"54.7299","0.000","0.000","null","null","null","null"
"FT","2017-05-17","95.1","-2.3363","5.7632","Justin Smoak",475253,592314,"null","called_strike",,,,,"13","null","R","L","R","ATL","TOR","S","null","null",1,0,2017,"1.6171","1.0308","-0.8385","2.2516","null","485567.00","430832.00",2,5,"Top","null","null",,,435559,,"170518_010755",,,,,,,"3.5886","1.8041","null","null","null","94.3480","2155","5.8110",490705,592314,435559,518692,408252,607054,621020,461314,542255,455976,"54.6902","0.000","0.000","null","null","null","null"
"FF","2017-05-17","94.7","-2.3186","5.8034","Justin Smoak",475253,592314,"null","ball",,,,,"9","null","R","L","R","ATL","TOR","B","null","null",0,0,2017,"0.7604","1.5015","0.3753","1.8643","null","485567.00","430832.00",2,5,"Top","null","null",,,435559,,"170518_010736",,,,,,,"3.6585","1.8680","null","null","null","94.4850","2309","6.2300",490705,592314,435559,518692,408252,607054,621020,461314,542255,455976,"54.2713","0.000","0.000","null","null","null","null"
"FT","2017-05-17","98.4","-2.2468","5.9509","Justin Smoak",475253,592314,"home_run","hit_into_play_score",,,,,"5","Justin Smoak homers (9) on a fly ball to center field.   Jose Bautista scores.  ","R","L","R","ATL","TOR","X","null","fly_ball",1,2,2017,"1.1036","1.3648","0.2420","2.9643","null","430832.00","null",0,4,"Top","179.84","40.32",,,"null",,"170518_004103",,,,,,,"3.5319","1.7121","395","100.8","30.5290","97.9900","2411","5.9130",490705,"null","null","null","null","null","null","null","null","null","54.5886","0.626","1.187","2.00",1,0,3
