Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerid
C.J. Cron,Rays,8,28,29,5,2,2,0,1,2,2,1,0,13,0,0,0,0,0,0,.179,12546
Ian Happ,Cubs,7,28,30,5,4,0,0,1,3,3,2,0,17,0,0,0,0,2,0,.179,17919
Yoan Moncada,White Sox,8,34,39,6,3,2,0,1,3,3,5,0,14,0,0,0,0,0,0,.176,17232
Alex Gordon,Royals,7,23,24,4,3,1,0,0,0,0,1,0,6,0,0,0,0,1,0,.174,5209
Adam Engel,White Sox,7,23,28,4,3,1,0,0,0,2,3,0,7,1,1,0,0,0,0,.174,15082
Carlos Santana,Phillies,8,29,36,5,1,2,0,2,6,7,4,0,6,0,3,0,1,1,0,.172,2396
Kyle Schwarber,Cubs,9,29,34,5,1,2,0,2,4,3,5,1,11,0,0,0,0,0,1,.172,16478
Lewis Brinson,Marlins,9,41,45,7,7,0,0,0,3,1,2,1,13,1,0,0,0,0,0,.171,14352
Giancarlo Stanton,Yankees,10,42,48,7,2,2,0,3,5,7,6,0,20,0,0,0,0,0,0,.167,4949
Alcides Escobar,Royals,7,24,25,4,2,1,1,0,2,0,1,0,3,0,0,0,1,1,0,.167,6310
Michael A. Taylor,Nationals,9,30,32,5,5,0,0,0,3,1,2,0,11,0,0,0,1,4,0,.167,11489
Carlos Gomez,Rays,8,31,34,5,2,2,0,1,4,2,3,0,12,0,0,0,0,0,0,.161,4881
Andrew Benintendi,Red Sox,9,31,40,5,4,1,0,0,6,2,9,1,4,0,0,0,0,1,0,.161,17901
Mikie Mahtook,Tigers,7,25,29,4,3,1,0,0,3,1,3,1,8,0,1,0,0,0,0,.160,13130
Ryan Braun,Brewers,8,32,36,5,2,1,0,2,3,6,3,0,12,0,1,0,1,1,1,.156,3410
Logan Forsythe,Dodgers,8,32,35,5,4,0,0,1,1,2,3,0,5,0,0,0,2,0,0,.156,7185
Javier Baez,Cubs,9,27,34,4,1,1,2,0,5,4,5,3,7,2,0,0,0,0,0,.148,12979
Francisco Cervelli,Pirates,8,28,34,4,2,2,0,0,3,4,6,0,4,0,0,0,0,0,0,.143,5275
Evan Longoria,Giants,7,29,29,4,1,2,0,1,1,2,0,0,10,0,0,0,0,1,0,.138,9368
Billy Hamilton,Reds,7,22,25,3,2,1,0,0,4,1,3,0,8,0,0,0,0,1,0,.136,10199
Manuel Margot,Padres,9,37,40,5,4,0,0,1,2,2,3,0,7,0,0,0,0,1,0,.135,14712
Orlando Arcia,Brewers,9,30,32,4,4,0,0,0,1,2,2,0,7,0,0,0,1,0,0,.133,13185
Dexter Fowler,Cardinals,9,38,41,5,2,2,0,1,4,2,3,0,9,0,0,0,0,0,1,.132,4062
Enrique Hernandez,Dodgers,8,23,29,3,1,2,0,0,2,4,5,1,5,0,1,0,0,0,0,.130,10472
Jason Kipnis,Indians,9,34,38,4,3,1,0,0,2,1,4,0,7,0,0,0,1,0,0,.118,9776
Jackie Bradley Jr.,Red Sox,7,26,29,3,1,2,0,0,3,0,3,0,3,0,0,0,1,1,0,.115,12984
Ryan Zimmerman,Nationals,9,27,30,3,2,0,0,1,1,3,2,0,7,1,0,0,1,0,0,.111,4220
Anthony Rizzo,Cubs,6,28,32,3,2,0,0,1,2,3,1,0,7,3,0,0,1,0,0,.107,3473
Adam Duvall,Reds,8,28,30,3,0,1,0,2,2,6,1,0,11,0,1,0,1,0,0,.107,10950
Paul Goldschmidt,Diamondbacks,9,30,41,3,2,1,0,0,5,2,10,0,11,1,0,0,0,0,0,.100,9218
Chris Davis,Orioles,9,30,36,3,2,0,0,1,1,1,5,1,7,1,0,0,0,0,0,.100,9272
Kevin Kiermaier,Rays,8,32,35,3,2,0,1,0,2,1,3,0,14,0,0,0,0,0,0,.094,11038
Ryon Healy,Mariners,6,22,23,2,1,1,0,0,1,4,1,0,6,0,0,0,2,0,0,.091,15447
Aaron Altherr,Phillies,8,24,29,2,1,0,0,1,4,5,5,0,10,0,0,0,1,1,1,.083,11270
Jose Iglesias,Tigers,7,26,30,2,1,1,0,0,5,1,3,0,5,1,0,0,1,1,1,.077,10231
Gary Sanchez,Yankees,8,32,33,2,0,1,0,1,2,3,0,0,5,1,0,0,2,0,0,.063,11442
Jose Ramirez,Indians,9,33,39,2,1,0,0,1,2,4,6,1,2,0,0,0,1,1,0,.061,13510
Randal Grichuk,Blue Jays,10,34,38,2,1,0,0,1,1,2,3,0,13,0,1,0,1,0,0,.059,10243
Logan Morrison,Twins,6,19,22,1,0,1,0,0,1,1,2,0,5,1,0,0,1,0,0,.053,9205
J.P. Crawford,Phillies,7,23,25,1,1,0,0,0,3,0,1,0,8,0,0,0,0,0,0,.043,15491
